timeCo2;ppm
685000;222.5687083
686000;222.6048304
687000;223.7963955
688000;226.3861029
689000;229.8081258
690000;233.4852746
691000;236.7705473
692000;239.0012079
693000;239.8553583
694000;239.7329571
695000;239.2278612
696000;238.8854216
697000;239.1314834
698000;239.5706456
699000;239.2242317
7.00E+05;237.717208
701000;235.4734798
702000;233.4635776
703000;232.7010274
704000;233.2897719
705000;234.5704595
706000;235.6089851
707000;235.6008886
708000;234.4406961
709000;232.428184
710000;229.621911
711000;226.8747777
712000;225.314268
713000;225.0731638
714000;224.9154463
715000;222.3565129
716000;215.9628301
717000;207.0677934
718000;200.5857542
719000;201.8439222
720000;208.7190952
721000;214.4102607
722000;215.8193168
723000;214.5265135
724000;212.9659184
725000;211.9258259
726000;211.3342707
727000;210.9346937
728000;210.6509864
729000;210.6785029
730000;210.8589477
731000;210.9963791
732000;210.9331498
733000;211.0489886
734000;212.366507
735000;213.9483886
736000;213.1686748
737000;208.5516813
738000;200.462455
739000;191.8625074
740000;186.9994656
741000;186.1871523
742000;187.0912814
743000;187.8689381
744000;188.1911684
745000;188.3355195
746000;188.4548502
747000;188.4352608
748000;188.445498
749000;189.073882
750000;190.4409578
751000;192.2148538
752000;194.4870429
753000;197.1161781
754000;199.6415111
755000;202.3544792
756000;205.9755039
757000;210.7896536
758000;216.7152712
759000;221.4774434
760000;223.0801209
761000;221.8223279
762000;219.0369517
763000;218.4579376
764000;222.0368898
765000;226.2936923
766000;228.4410837
767000;228.0780814
768000;226.099464
769000;225.8787345
770000;229.3864255
771000;234.5374303
772000;238.7256514
773000;240.9846961
774000;241.3730923
775000;241.7397825
776000;244.1132222
777000;247.4476732
778000;250.6254474
779000;252.9280986
780000;253.9435609
781000;254.35435
782000;255.0079072
783000;256.2017273
784000;257.8727842
785000;259.7104383
786000;261.7269065
787000;262.3980558
788000;258.5269174
789000;249.5843383
790000;238.9904221
791000;230.3050314
792000;223.3135763
793000;217.9819952
794000;213.9809699
795000;209.2557424
796000;204.2444086
797000;200.8146991
798000;199.5895997
799000;199.620448
8.00E+05;199.4462183
801000;199.386654
802000;200.7505923
803000;202.5350006
804000;203.6901819
805000;204.3633739
